rule_id,rule_description,L1_rule_id
L2_01,Is the Patient Name on the Aadhaar card the same as on the Claim Form?,"L1_01_06, L1_05_01"
L2_02,Is the Patient Name on the PAN card the same as on the Claim Form?,"L1_01_06, L1_07_01"
L2_03,Is the Patient Name on the Assessment Record the same as on the Claim Form?,"L1_01_06, L1_02_01"
L2_04,Is the Patient Name on the Discharge Summary the same as on the Claim Form?,"L1_01_06, L1_03_01"
L2_05,Is the Patient Name on the Radiology Report the same as on the Claim Form?,"L1_01_06, L1_06_01"
L2_06,Is the Patient Age on the Assessment Record the same as on the Claim Form?,"L1_01_08, L1_02_02"
L2_07,Is the Patient Age on the Discharge Summary the same as on the Claim Form?,"L1_01_08, L1_03_03"
L2_08,Is the Patient Age on the Radiology Report the same as on the Claim Form?,"L1_01_08, L1_06_06"
L2_09,Does the Year of Birth on the Aadhaar card correspond with the Patient Age on the Claim Form?,"L1_01_08, L1_05_03"
L2_10,Is the Treating Doctor Name (or Consultant Name) on the Assessment Record the same as on the Claim Form?,"L1_01_11, L1_02_03"
L2_11,Is the Doctor Name on the Discharge Summary the same as the Treating Doctor Name on the Claim Form?,"L1_01_11, L1_03_02"
L2_12,Is the Doctor Name on the Radiology Report the same as the Treating Doctor Name on the Claim Form?,"L1_01_11, L1_06_02"
L2_13,Is the Diagnosis on the Assessment Record the same as the Provisional Diagnosis on the Claim Form?,"L1_01_13, L1_02_06"
L2_14,Is the Diagnosis on the Discharge Summary the same as the Provisional Diagnosis on the Claim Form?,"L1_01_13, L1_03_07"
L2_15,Is the Policy No. on the Insurance Card the same as the Patient Policy Number on the Claim Form?,"L1_01_10, L1_04_01"
L2_16,Is the Patient Gender on the Discharge Summary the same as on the Claim Form?,"L1_01_07, L1_03_04"
L2_17,Is the Patient Gender on the Radiology Report the same as on the Claim Form?,"L1_01_07, L1_06_04"
L2_18,Is the Patient Gender on the Aadhaar card the same as on the Claim Form?,"L1_01_07, L1_05_02"
L2_19,Is the Admit Date on the Discharge Summary the same as the Date of Admission on the Claim Form?,"L1_01_17, L1_03_05"
