Proc_ID,Proc_Name,Poc_Type,Check_Rules
P0001,Haemorrhoids,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH08"
P0002,Appendicitis,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH09"
P0003,"Mastoidectomy + Tympanoplasty
- Including Meatoplasty + Ossciculoplasty + Canaloplasty",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH10"
P0004,"Tympanoplasty
- All Types of Tympanoplasty Including Canaloplasty",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH11"
P0005,"Tonsillectomy
- Including Coblation Wand & LASER charges",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH12"
P0006,"Tonsillectomy & Adenoidectomy
- Including Coblation Wand & LASER charges",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH13"
P0007,"Adenoidectomy
- Including Coblation Wand & LASER charges",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH14"
P0008,Open - Cholecystectomy (Pediatric / Adult),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH15"
P0009,Circumcision (Day Care),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH16"
P0010,Fissurectomy with Sphincterotomy,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH17"
P0011,Fistulectomy - Low (Including cost of Laser) with Sphincterotomy,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH18"
P0012,Fistulectomy - High (Including cost of Laser) with Sphincterotomy,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH19"
P0013,Herniorraphy - Inguinal,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH20"
P0014,"Hernioplasty - Inguinal/Femoral - Unilateral
- Including Cost of Mesh (Mesh worth Upto Rs.7,000/-)",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH21"
P0015,"Hernioplasty - Umblical/Paraumblical
- Including Cost of Mesh (Mesh worth Upto Rs.7,000/-)",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH22"
P0016,"Hernioplasty - Incisional/ Ventral
- Including Cost of Mesh (Mesh worth Upto Rs.7,000/-)",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH23"
P0017,"Laparoscopic Hernioplasty - Inguinal - Unilateral
- Including Cost of Mesh - (Mesh worth Upto Rs.7,000/-) ; Tackers Excluded",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH24"
P0018,"Laparoscopic Hernioplasty - Inguinal - Bilateral
- Including Cost of Mesh - (Mesh worth Upto Rs.7,000/-) ; Tackers Excluded",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH25"
P0019,"Laparoscopic Hernioplasty - Umblical/Paraumblical
- Including Cost of Mesh - (Mesh worth Upto Rs.7,000/-) ; Tackers Excluded",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH26"
P0020,"Laparoscopic Hernioplasty - Incisional/Ventral
- Including Cost of Mesh - (Mesh worth Upto Rs.7,000/-) ; Tackers Excluded",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH27"
P0021,Lymph Node Biopsy (Cervical / Axillary / Inguinal)- Under GA,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH28"
P0022,Lipoma - Under GA,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH29"
P0023,Perianal Abcess (I&D),Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH30"
P0024,Pilonidal Sinus with primary closure,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH31"
P0025,Thyroidectomy - any type,Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH32"
P0026,"Surgery for varicose veins saphenofemoral ligation and stripping /
sclerotherapy - Unilateral",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH33"
P0027,"Varicose veins - Radiofrequency ablation, endovenous laser treatment
- Including Cost of Laser and Catheter",Surgical Management,"CH01, CH02, CH03, CH05, CH06, CH07, CH34"
